,ACN
Price/Earnings (TTM),24.30335
Price/Sales (TTM),2.77301
Price/Book (MRQ),7.71214
Price/Cash Flow (TTM),19.95094
5yr Low,88.43
5yr High,216.39
5yr Avg Return,0.14471666666666666
EPS Growth 5yr,0.102506
Revenue Growth 5yr,0.0627663
Dividend Growth 5yr,0.0943947
Short Int Current Month,8817104.0
Short Int Prev Month,7639028.0
Short Int Pct of Float,0.0133558
Days to Cover,3.28186
Float,659.9982
Shares Outstanding,661.8083
Institutions Holding Shares,2117.0
% Held by Institutions,0.721002
FCF Growth 5yr,0.10495674163605107
