,ACN
% Below High,0.1286
% Held by Institutions,0.721
52-Wk Range,['137.15 - 216.39']
Annual Dividend $,3.2
Annual Dividend %,0.0171
Ask,188.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,188.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,188.56
Day Change $,1.45
Day Change %,0.0077
Day High,189.85
Day Low,187.68
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",7.7
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.375
Last (size),9.0
Last (time),6:30p ET 05/08/20
Last Trade,188.56
Market Cap,120.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.3
Prev Close,187.11
Shares Outstanding,637.6M
Short Interest,0.0134
Today's Open,188.99
Volume,1778711.0
Volume 10-day Avg,2160437.0
Volume Past Day,(Below Average)
