,SPGI
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.052350427350427386
Growth 1yr High Est,0.07716371220020868
Growth 1yr Consensus Est,0.06475706977531803
Growth 2yr Low Est,0.054093995401102046
Growth 2yr High Est,0.11505813877193394
Growth 2yr Consensus Est,0.08457606708651799
Growth 5yr Low Est,0.12361797058731339
Growth 5yr High Est,0.15227666140523083
Growth 5yr Consensus Est,0.1379473159962721
Growth 5yr Actual/Est,0.127466472125721
Growth 3yr Historic,0.08871211474430118
