,SPGI
Price/Earnings (TTM),31.07863
Price/Sales (TTM),10.37083
Price/Book (MRQ),
Price/Cash Flow (TTM),26.1693
5yr Low,78.55
5yr High,312.94
5yr Avg Return,0.21671666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0580995
Dividend Growth 5yr,0.1369745
Short Int Current Month,4666666.0
Short Int Prev Month,4403817.0
Short Int Pct of Float,0.0193979
Days to Cover,2.24631
Float,240.5999
Shares Outstanding,240.9
Institutions Holding Shares,1528.0
% Held by Institutions,0.84578
FCF Growth 5yr,3.2250088570231425
