,WAT
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.27293577981651385
Growth 1yr High Est,-0.031567080045095786
Growth 1yr Consensus Est,-0.15225142993080482
Growth 2yr Low Est,0.0015447283882730756
Growth 2yr High Est,0.05872169862704457
Growth 2yr Consensus Est,0.030133213507658824
Growth 5yr Low Est,0.043905397645690375
Growth 5yr High Est,0.07311864898511505
Growth 5yr Consensus Est,0.058512023315402714
Growth 5yr Actual/Est,0.054238109047744704
Growth 3yr Historic,0.047812040501126585
