,HSY
% Above Low,0.2121
% Held by Institutions,0.7508
52-Wk Range,['109.88 - 162.20']
Annual Dividend $,3.09
Annual Dividend %,0.023700000000000002
Ask,135.1
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.2
Bid,129.0
Bid Size,500.0
Closing Price,133.19
Day Change $,2.66
Day Change %,0.0204
Day High,133.76
Day Low,131.81
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.3
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.37
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,27.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.64
Prev Close,130.53
Shares Outstanding,208.0M
Short Interest,0.0239
Today's Open,132.25
Volume,831328.0
Volume 10-day Avg,1190371.0
Volume Past Day,(Light)
