,HSY
Price/Earnings (TTM),24.635
Price/Sales (TTM),3.39094
Price/Book (MRQ),16.25831
Price/Cash Flow (TTM),19.37327
5yr Low,82.41
5yr High,162.2
5yr Avg Return,0.0743
EPS Growth 5yr,0.0769324
Revenue Growth 5yr,0.0147688
Dividend Growth 5yr,0.0794641
Short Int Current Month,3522890.0
Short Int Prev Month,2524115.0
Short Int Pct of Float,0.0239081
Days to Cover,2.87648
Float,147.1399
Shares Outstanding,208.0096
Institutions Holding Shares,1239.0
% Held by Institutions,0.750826
FCF Growth 5yr,0.11597128019389202
