,JWN
% Above Low,0.4694
% Held by Institutions,0.7212000000000001
52-Wk Range,['12.27 - 43.37']
Annual Dividend $,
Annual Dividend %,
Ask,18.24
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,18.0
Bid Size,500.0
Closing Price,18.03
Day Change $,0.74
Day Change %,0.042800000000000005
Day High,18.06
Day Low,17.42
Dividend Pay Date,03/25/20
"EPS (TTM, GAAP)",3.18
Ex-dividend Date,03/09/20
Historical Volatility,0.756
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.44
Prev Close,17.29
Shares Outstanding,156.3M
Short Interest,0.325
Today's Open,17.7
Volume,4060040.0
Volume 10-day Avg,5121052.0
Volume Past Day,(Light)
