,JWN
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.855855855855856
Growth 1yr High Est,-0.022922636103151928
Growth 1yr Consensus Est,-0.9393892459795039
Growth 2yr Low Est,-1.5752963489805596
Growth 2yr High Est,0.013465368165432812
Growth 2yr Consensus Est,-0.7809154904075634
Growth 5yr Low Est,-0.7473062691717526
Growth 5yr High Est,0.05314784924788157
Growth 5yr Consensus Est,-0.34707920996193553
Growth 5yr Actual/Est,5.9957074002447115
Growth 3yr Historic,0.04458639793676569
