,PRGO
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.010362694300518172
Growth 1yr High Est,0.03170731707317098
Growth 1yr Consensus Est,0.010672311386326405
Growth 2yr Low Est,-0.10989338903507584
Growth 2yr High Est,0.05131465144438685
Growth 2yr Consensus Est,-0.029289368795344495
Growth 5yr Low Est,-0.1055029896868038
Growth 5yr High Est,-0.02012825734140558
Growth 5yr Consensus Est,-0.06281562351410469
Growth 5yr Actual/Est,-0.03428065587491094
Growth 3yr Historic,-0.047841205447696294
