,PRGO
Price/Earnings (TTM),38.27946
Price/Sales (TTM),1.43399
Price/Book (MRQ),1.23995
Price/Cash Flow (TTM),12.33758
5yr Low,36.28
5yr High,200.96
5yr Avg Return,-0.13793333333333335
Short Int Current Month,4086123.0
Short Int Prev Month,3969305.0
Short Int Pct of Float,0.030168
Days to Cover,2.95994
Float,135.7484
Shares Outstanding,136.3134
Institutions Holding Shares,526.0
% Held by Institutions,0.8573480000000001
FCF Growth 5yr,0.4326339178856354
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
