,PRGO
% Below High,0.1757
% Held by Institutions,0.8573000000000001
52-Wk Range,['40.01 - 63.86']
Annual Dividend $,0.9
Annual Dividend %,0.0174
Ask,57.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.2
Bid,50.23
Bid Size,100.0
Closing Price,52.64
Day Change $,0.95
Day Change %,0.0184
Day High,52.73
Day Low,51.77
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",1.38
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.454
Last (size),72.0
Last (time),6:30p ET 05/08/20
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.28
Prev Close,51.69
Shares Outstanding,136.1M
Short Interest,0.0302
Today's Open,52.13
Volume,492986.0
Volume 10-day Avg,969508.0
Volume Past Day,(Light)
