,CINF
Price/Earnings (TTM),171.1308
Price/Sales (TTM),1.56119
Price/Book (MRQ),1.09993
Price/Cash Flow (TTM),58.58074
5yr Low,49.72
5yr High,118.19
5yr Avg Return,0.06059999999999999
EPS Growth 5yr,0.3082784
Revenue Growth 5yr,0.0988936
Dividend Growth 5yr,0.0489834
Short Int Current Month,1756868.0
Short Int Prev Month,1925741.0
Short Int Pct of Float,0.0116001
Days to Cover,1.92381
Float,150.2355
Shares Outstanding,160.8015
Institutions Holding Shares,809.0
% Held by Institutions,0.632254
FCF Growth 5yr,0.023063511159698135
