,AAL
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-6.088659793814434
Growth 1yr High Est,-1.6862745098039216
Growth 1yr Consensus Est,-3.8874671518091777
Growth 2yr Low Est,-3.334848535480961
Growth 2yr High Est,-2.0088515406162464
Growth 2yr Consensus Est,-2.6718500380486034
Growth 5yr Low Est,-1.6534066884077294
Growth 5yr High Est,-0.9912139497731793
Growth 5yr Consensus Est,-1.3223103190904544
Growth 5yr Actual/Est,-1.2793569534030977
Growth 3yr Historic,0.002325031525851229
