,AAL
% Above Low,0.1155
% Held by Institutions,0.8162
52-Wk Range,['9.09 - 34.99']
Annual Dividend $,
Annual Dividend %,
Ask,9.95
Ask Size,100.0
Ask close,10.14
B/A Ratio,13.0
B/A Size,1300x100
Beta,1.8
Bid,9.93
Bid Size,1300.0
Bid close,10.12
Change Since Close,-0.20| |(-1.97%)
Closing Price,10.14
Day Change $,0.6
Day Change %,0.0629
Day High,10.15
Day Low,9.68
Dividend Pay Date,02/19/20
"EPS (TTM, GAAP)",-1.87
Ex-dividend Date,02/04/20
Historical Volatility,0.78
Last (size),289.0
Last (time),3:59p ET 05/08/20
Last Trade,9.94
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.54
Shares Outstanding,422.9M
Short Interest,0.1937
Today's Open,9.78
Volume,59414115.0
Volume 10-day Avg,90062083.0
Volume Past Day,(Light)
