,AAL
Price/Earnings (TTM),
Price/Sales (TTM),0.09232
Price/Book (MRQ),
Price/Cash Flow (TTM),2.42891
5yr Low,9.09
5yr High,59.08
5yr Avg Return,-0.17155
EPS Growth 5yr,-0.0067816
Revenue Growth 5yr,0.0142116
Dividend Growth 5yr,
Short Int Current Month,81535899.0
Short Int Prev Month,55241201.0
Short Int Pct of Float,0.1937313
Days to Cover,1.04128
Float,417.9177
Shares Outstanding,422.8945
Institutions Holding Shares,722.0
% Held by Institutions,0.816202
FCF Growth 5yr,0.9708239093662826
