,AJG
Price/Earnings (TTM),24.49999
Price/Sales (TTM),2.28951
Price/Book (MRQ),3.21862
Price/Cash Flow (TTM),13.01853
5yr Low,35.96
5yr High,109.46
5yr Avg Return,0.1226
EPS Growth 5yr,0.12339610000000001
Revenue Growth 5yr,0.0923345
Dividend Growth 5yr,0.035196
Short Int Current Month,2495709.0
Short Int Prev Month,2612126.0
Short Int Pct of Float,0.013499
Days to Cover,1.77228
Float,187.8004
Shares Outstanding,189.621
Institutions Holding Shares,899.0
% Held by Institutions,0.8238070000000001
FCF Growth 5yr,0.1654370623481985
