,ROL
Price/Earnings (TTM),68.72288
Price/Sales (TTM),6.68236
Price/Book (MRQ),17.31858
Price/Cash Flow (TTM),48.20143
5yr Low,15.79
5yr High,43.91
5yr Avg Return,0.18458333333333335
EPS Growth 5yr,0.0806129
Revenue Growth 5yr,0.0738295
Dividend Growth 5yr,0.17607479999999998
Short Int Current Month,13680474.0
Short Int Prev Month,12296477.0
Short Int Pct of Float,0.0964734
Days to Cover,11.07975
Float,141.8054
Shares Outstanding,327.7675
Institutions Holding Shares,582.0
% Held by Institutions,0.42268300000000003
FCF Growth 5yr,0.12813632784455514
