,ROL
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.125
Growth 1yr High Est,-0.1216216216216216
Growth 1yr Consensus Est,-0.1233108108108108
Growth 2yr Low Est,0.024801587301587324
Growth 2yr High Est,0.07765072765072761
Growth 2yr Consensus Est,0.05122615747615747
Growth 5yr Low Est,-0.022768555779119154
Growth 5yr High Est,0.006955903712551559
Growth 5yr Consensus Est,-0.007906326033283798
Growth 5yr Actual/Est,0.09231134448483744
Growth 3yr Historic,0.0684457622930566
