,ROL
% Below High,0.0045000000000000005
% Held by Institutions,0.4227
52-Wk Range,['30.72 - 42.48']
Annual Dividend $,0.32
Annual Dividend %,0.0077
Ask,55.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,25.2
Bid Size,100.0
Closing Price,42.29
Day Change $,0.66
Day Change %,0.0159
Day High,42.48
Day Low,41.81
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",0.62
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.34700000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",68.72
Prev Close,41.63
Shares Outstanding,327.8M
Short Interest,0.0965
Today's Open,42.0
Volume,1047515.0
Volume 10-day Avg,1438711.0
Volume Past Day,(Light)
