,OXY
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-2.554187192118227
Growth 1yr High Est,-1.5229007633587788
Growth 1yr Consensus Est,-2.038543977738503
Growth 2yr Low Est,-1.4062536594505555
Growth 2yr High Est,-1.214005126204937
Growth 2yr Consensus Est,-1.3101293928277462
Growth 5yr Low Est,0.9265027999043516
Growth 5yr High Est,0.44002713986782865
Growth 5yr Consensus Est,0.68326496988609
Growth 5yr Actual/Est,-0.0965783985679024
Growth 3yr Historic,0.9796586602076744
