,OXY
% Above Low,0.6689
% Held by Institutions,0.8226
52-Wk Range,['9.00 - 60.73']
Annual Dividend $,0.44
Annual Dividend %,0.0317
Ask,15.4
Ask Size,2200.0
B/A Ratio,0.36363636363636365
B/A Size,800x2200
Beta,2.0
Bid,15.03
Bid Size,800.0
Closing Price,15.02
Day Change $,1.14
Day Change %,0.0821
Day High,15.05
Day Low,14.1
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-4.33
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.9640000000000001
Last (size),227.0
Last (time),6:30p ET 05/08/20
Market Cap,13.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.88
Shares Outstanding,916.8M
Short Interest,0.0809
Today's Open,14.31
Volume,31352419.0
Volume 10-day Avg,43585010.0
Volume Past Day,(Light)
