,OXY
Price/Earnings (TTM),
Price/Sales (TTM),0.59001
Price/Book (MRQ),0.62779
Price/Cash Flow (TTM),3.60776
5yr Low,9.0
5yr High,87.67
5yr Avg Return,-0.19701666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0117365
Dividend Growth 5yr,0.0174368
Short Int Current Month,73572453.0
Short Int Prev Month,77061685.0
Short Int Pct of Float,0.080914
Days to Cover,1.30903
Float,898.5072
Shares Outstanding,900.0182
Institutions Holding Shares,1244.0
% Held by Institutions,0.8225979999999999
FCF Growth 5yr,-1.974713425112374
