,UNM
Price/Earnings (TTM),3.28601
Price/Sales (TTM),0.26513
Price/Book (MRQ),0.3219
Price/Cash Flow (TTM),2.89216
5yr Low,9.58
5yr High,58.73
5yr Avg Return,-0.06359999999999999
EPS Growth 5yr,0.2732712
Revenue Growth 5yr,0.0267379
Dividend Growth 5yr,0.1194558
Short Int Current Month,5661791.0
Short Int Prev Month,5982150.0
Short Int Pct of Float,0.0280848
Days to Cover,1.7634
Float,202.133
Shares Outstanding,203.4205
Institutions Holding Shares,664.0
% Held by Institutions,1.0112569999999999
FCF Growth 5yr,0.07079449175493939
