,UNM
% Above Low,0.62
% Held by Institutions,1.0112999999999999
52-Wk Range,['9.58 - 36.29']
Annual Dividend $,1.14
Annual Dividend %,0.07719999999999999
Ask,15.55
Ask Size,1700.0
B/A Ratio,1.1764705882352942
B/A Size,2000x1700
Beta,1.7
Bid,15.2
Bid Size,2000.0
Closing Price,15.52
Day Change $,0.76
Day Change %,0.051500000000000004
Day High,15.55
Day Low,14.54
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",4.72
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.691
Last (size),190.0
Last (time),6:30p ET 05/08/20
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.29
Prev Close,14.76
Shares Outstanding,203.4M
Short Interest,0.0281
Today's Open,14.92
Volume,2923301.0
Volume 10-day Avg,3859912.0
Volume Past Day,(Light)
