,TTWO
Price/Earnings (TTM),44.4806
Price/Sales (TTM),5.13635
Price/Book (MRQ),6.12751
Price/Cash Flow (TTM),26.33935
5yr Low,24.14
5yr High,139.91
5yr Avg Return,0.37916666666666665
EPS Growth 5yr,-0.0221033
Revenue Growth 5yr,0.025688399999999997
Dividend Growth 5yr,
Short Int Current Month,4094006.0
Short Int Prev Month,2988110.0
Short Int Pct of Float,0.0365183
Days to Cover,2.15168
Float,112.059
Shares Outstanding,113.4243
Institutions Holding Shares,876.0
% Held by Institutions,0.919594
FCF Growth 5yr,0.41296008218926905
