,TTWO
% Below High,0.0431
% Held by Institutions,0.9196
52-Wk Range,['99.22 - 135.70']
Annual Dividend $,
Annual Dividend %,
Ask,130.75
Ask Size,700.0
B/A Ratio,0.5714285714285714
B/A Size,400x700
Beta,0.5
Bid,130.5
Bid Size,400.0
Closing Price,129.85
Day Change $,1.07
Day Change %,0.0083
Day High,130.78
Day Low,127.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.92
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),35.0
Last (time),4:00p ET 05/08/20
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.48
Prev Close,128.78
Shares Outstanding,113.4M
Short Interest,0.0365
Today's Open,129.37
Volume,1316951.0
Volume 10-day Avg,1399134.0
Volume Past Day,(Average)
