,COG
Price/Earnings (TTM),17.5131
Price/Sales (TTM),4.39719
Price/Book (MRQ),3.67255
Price/Cash Flow (TTM),8.98995
5yr Low,13.06
5yr High,35.64
5yr Avg Return,-0.030133333333333318
EPS Growth 5yr,0.4550363
Revenue Growth 5yr,-0.0100225
Dividend Growth 5yr,0.3433699
Short Int Current Month,12720070.0
Short Int Prev Month,15990037.0
Short Int Pct of Float,0.0326144
Days to Cover,1.7975
Float,390.4124
Shares Outstanding,398.5755
Institutions Holding Shares,740.0
% Held by Institutions,0.9808450000000001
FCF Growth 5yr,1.3287216013371002
