,COG
% Below High,0.2519
% Held by Institutions,0.9808
52-Wk Range,['13.06 - 27.42']
Annual Dividend $,0.4
Annual Dividend %,0.02
Ask,22.31
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.3
Bid,19.5
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.51
Day Change $,0.53
Day Change %,0.0265
Day High,20.56
Day Low,20.08
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",1.14
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.483
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,8.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.51
Prev Close,19.98
Shares Outstanding,398.6M
Short Interest,0.0326
Today's Open,20.08
Volume,3504824.0
Volume 10-day Avg,6390122.0
Volume Past Day,(Light)
