,COG
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.8102189781021898
Growth 1yr High Est,-0.49710982658959535
Growth 1yr Consensus Est,-0.6536644023458926
Growth 2yr Low Est,0.5371982032565974
Growth 2yr High Est,0.6882266959006045
Growth 2yr Consensus Est,0.6127124495786009
Growth 5yr Low Est,0.6506975931988399
Growth 5yr High Est,0.5268281995955444
Growth 5yr Consensus Est,0.5887628963971921
Growth 5yr Actual/Est,0.6073302875623774
Growth 3yr Historic,0.4142619311875693
