,ICE
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.1090909090909089
Growth 1yr High Est,0.202020202020202
Growth 1yr Consensus Est,0.15555555555555545
Growth 2yr Low Est,0.06976793698105177
Growth 2yr High Est,0.11991766403531112
Growth 2yr Consensus Est,0.09484280050818145
Growth 5yr Low Est,0.10874139725808624
Growth 5yr High Est,0.135892072811015
Growth 5yr Consensus Est,0.12231673503455062
Growth 5yr Actual/Est,0.12175345840653862
Growth 3yr Historic,0.07443227420801662
