,ICE
Price/Earnings (TTM),24.87807
Price/Sales (TTM),9.27716
Price/Book (MRQ),3.01159
Price/Cash Flow (TTM),18.48363
5yr Low,44.06
5yr High,101.93
5yr Avg Return,0.12560000000000002
EPS Growth 5yr,0.1519026
Revenue Growth 5yr,0.1096504
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,5613398.0
Short Int Prev Month,6505446.0
Short Int Pct of Float,0.0103799
Days to Cover,1.6716
Float,539.1104
Shares Outstanding,547.2218
Institutions Holding Shares,1337.0
% Held by Institutions,0.909284
FCF Growth 5yr,0.20851938358889582
