,LDOS
Price/Earnings (TTM),24.30897
Price/Sales (TTM),1.25007
Price/Book (MRQ),4.24857
Price/Cash Flow (TTM),17.11687
5yr Low,37.79
5yr High,125.84
5yr Avg Return,0.20793333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1698658
Dividend Growth 5yr,0.0061733000000000005
Short Int Current Month,3569082.0
Short Int Prev Month,2781430.0
Short Int Pct of Float,0.0254172
Days to Cover,2.86096
Float,141.124
Shares Outstanding,142.0438
Institutions Holding Shares,793.0
% Held by Institutions,0.7699370000000001
FCF Growth 5yr,0.21927191721187955
