,FITB
% Above Low,0.6302000000000001
% Held by Institutions,0.7783
52-Wk Range,['11.10 - 31.64']
Annual Dividend $,1.08
Annual Dividend %,0.0623
Ask,18.25
Ask Size,300.0
B/A Ratio,4.0
B/A Size,1200x300
Beta,1.7
Bid,18.1
Bid Size,1200.0
Closing Price,18.1
Day Change $,0.765
Day Change %,0.0441
Day High,18.24
Day Low,17.67
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",2.28
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.631
Last (size),10.0
Last (time),4:00p ET 05/08/20
Market Cap,12.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,17.33
Shares Outstanding,711.3M
Short Interest,0.0191
Today's Open,17.8
Volume,5411663.0
Volume 10-day Avg,6315863.0
Volume Past Day,(Below Average)
