,FITB
Price/Earnings (TTM),7.60261
Price/Sales (TTM),1.53092
Price/Book (MRQ),0.61319
Price/Cash Flow (TTM),6.03818
5yr Low,11.1
5yr High,34.67
5yr Avg Return,0.026400000000000007
EPS Growth 5yr,0.1489897
Revenue Growth 5yr,0.0918691
Dividend Growth 5yr,0.13008609999999998
Short Int Current Month,13527678.0
Short Int Prev Month,11866775.0
Short Int Pct of Float,0.0190903
Days to Cover,1.69546
Float,708.8635
Shares Outstanding,711.1327
Institutions Holding Shares,981.0
% Held by Institutions,0.778256
FCF Growth 5yr,0.05341233352515908
