,ECL
Price/Earnings (TTM),36.68802
Price/Sales (TTM),3.7474
Price/Book (MRQ),6.36277
Price/Cash Flow (TTM),27.90214
5yr Low,98.62
5yr High,211.24
5yr Avg Return,0.10338333333333333
EPS Growth 5yr,0.0622893
Revenue Growth 5yr,0.0086147
Dividend Growth 5yr,0.1083707
Short Int Current Month,3481000.0
Short Int Prev Month,3302104.0
Short Int Pct of Float,0.0121044
Days to Cover,2.06167
Float,287.7984
Shares Outstanding,289.2267
Institutions Holding Shares,1615.0
% Held by Institutions,0.850406
FCF Growth 5yr,0.0668771675030155
