,ECL
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.26724137931034475
Growth 1yr High Est,-0.05932203389830515
Growth 1yr Consensus Est,-0.16328170660432495
Growth 2yr Low Est,-0.024208924949290056
Growth 2yr High Est,0.06493357764544205
Growth 2yr Consensus Est,0.020362326348076
Growth 5yr Low Est,0.046917684920947056
Growth 5yr High Est,0.09268356923219517
Growth 5yr Consensus Est,0.06980062707657111
Growth 5yr Actual/Est,0.06612490440449337
Growth 3yr Historic,0.05699360341151383
