,DHR
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.05263157894736836
Growth 1yr High Est,0.1473684210526316
Growth 1yr Consensus Est,0.09999999999999998
Growth 2yr Low Est,0.10240274599542332
Growth 2yr High Est,0.1635924674070497
Growth 2yr Consensus Est,0.1329976067012365
Growth 5yr Low Est,0.09409681535696102
Growth 5yr High Est,0.12719424365377363
Growth 5yr Consensus Est,0.11064552950536732
Growth 5yr Actual/Est,0.10180680442381895
Growth 3yr Historic,0.024080200961921372
