,PPL
Price/Earnings (TTM),11.00063
Price/Sales (TTM),2.58169
Price/Book (MRQ),1.54203
Price/Cash Flow (TTM),6.62828
5yr Low,18.12
5yr High,40.2
5yr Avg Return,-0.028066666666666663
EPS Growth 5yr,0.0188129
Revenue Growth 5yr,-0.0021231
Dividend Growth 5yr,0.020985999999999998
Short Int Current Month,8903226.0
Short Int Prev Month,7655704.0
Short Int Pct of Float,0.0115978
Days to Cover,1.50065
Float,767.657
Shares Outstanding,768.1797
Institutions Holding Shares,1075.0
% Held by Institutions,0.679769
FCF Growth 5yr,4.128685688975472
