,PPL
Next Earnings Announcement,
Growth Analysts,14.0
Growth 1yr Low Est,-0.012605042016806678
Growth 1yr High Est,0.012096774193548265
Growth 1yr Consensus Est,-0.0002541339116292063
Growth 2yr Low Est,0.004335776863937046
Growth 2yr High Est,0.01003245084179405
Growth 2yr Consensus Est,0.007184113852865548
Growth 5yr Low Est,0.028534415961286752
Growth 5yr High Est,0.03607683148150309
Growth 5yr Consensus Est,0.03230562372139492
Growth 5yr Actual/Est,0.022895408163265296
Growth 3yr Historic,0.021875000000000033
