,PPL
% Above Low,0.44090000000000007
% Held by Institutions,0.6798000000000001
52-Wk Range,['18.12 - 36.83']
Annual Dividend $,1.66
Annual Dividend %,0.0683
Ask,26.3
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,25.74
Bid Size,200.0
Closing Price,26.11
Day Change $,1.82
Day Change %,0.07490000000000001
Day High,26.26
Day Low,24.78
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.37
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.424
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,20.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.0
Prev Close,24.29
Shares Outstanding,768.2M
Short Interest,0.0116
Today's Open,24.9
Volume,6217482.0
Volume 10-day Avg,4773130.0
Volume Past Day,(Heavy Day)
