,ETR
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.06367041198501866
Growth 1yr High Est,0.09392265193370175
Growth 1yr Consensus Est,0.015126119974341545
Growth 2yr Low Est,0.03816479400749073
Growth 2yr High Est,0.05369533270085758
Growth 2yr Consensus Est,0.045930063354174155
Growth 5yr Low Est,-0.032184300125995435
Growth 5yr High Est,-0.025042034393942425
Growth 5yr Consensus Est,-0.02861316725996893
Growth 5yr Actual/Est,-0.03830449095708016
Growth 3yr Historic,-0.06150203298373613
