,VIAC
% Above Low,0.7901
% Held by Institutions,0.8029999999999999
52-Wk Range,['10.10 - 53.71']
Annual Dividend $,0.96
Annual Dividend %,0.058499999999999996
Ask,18.2
Ask Size,1400.0
B/A Ratio,0.07142857142857142
B/A Size,100x1400
Beta,1.8
Bid,18.15
Bid Size,100.0
Closing Price,18.08
Day Change $,1.66
Day Change %,0.1011
Day High,18.22
Day Low,16.6
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.648
Last (size),502.0
Last (time),4:00p ET 05/08/20
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",5.14
Prev Close,16.42
Shares Outstanding,615.0M
Short Interest,0.07519999999999999
Today's Open,16.82
Volume,17215221.0
Volume 10-day Avg,14294634.0
Volume Past Day,(Heavy Day)
