,VIAC
Price/Earnings (TTM),5.14486
Price/Sales (TTM),0.37082
Price/Book (MRQ),0.82677
Price/Cash Flow (TTM),4.09068
5yr Low,10.1
5yr High,70.1
5yr Avg Return,-0.13485
EPS Growth 5yr,0.16719830000000002
Revenue Growth 5yr,0.1503576
Dividend Growth 5yr,0.07140200000000001
Short Int Current Month,40373092.0
Short Int Prev Month,37247144.0
Short Int Pct of Float,0.0752259
Days to Cover,2.98096
Float,546.129
Shares Outstanding,613.7392
Institutions Holding Shares,1053.0
% Held by Institutions,0.802992
FCF Growth 5yr,0.07844695766973067
