,VIAC
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.6524271844660194
Growth 1yr High Est,-0.10037878787878796
Growth 1yr Consensus Est,-0.3764029861724037
Growth 2yr Low Est,0.08440093290665496
Growth 2yr High Est,0.050863237639553416
Growth 2yr Consensus Est,0.06763208527310419
Growth 5yr Low Est,0.09585612683068595
Growth 5yr High Est,0.07611499011818221
Growth 5yr Consensus Est,0.08598555847443408
Growth 5yr Actual/Est,0.026008258574810428
Growth 3yr Historic,0.03621584340514972
