,FMC
% Below High,0.1406
% Held by Institutions,0.9261
52-Wk Range,['56.77 - 108.77']
Annual Dividend $,1.76
Annual Dividend %,0.0187
Ask,103.89
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.3
Bid,65.56
Bid Size,100.0
Closing Price,93.48
Day Change $,-0.63
Day Change %,-0.0067
Day High,96.38
Day Low,93.38
Dividend Pay Date,2020-07-16 00:00:00
"EPS (TTM, GAAP)",4.17
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.511
Last (size),462.0
Last (time),6:30p ET 05/08/20
Market Cap,12.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.57
Prev Close,94.11
Shares Outstanding,129.4M
Short Interest,0.0191
Today's Open,95.41
Volume,982250.0
Volume 10-day Avg,894900.0
Volume Past Day,(Average)
