,PKI
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.15270935960591125
Growth 1yr High Est,0.11491442542787289
Growth 1yr Consensus Est,-0.018897467089019182
Growth 2yr Low Est,0.0326569481040212
Growth 2yr High Est,0.10022037060867339
Growth 2yr Consensus Est,0.0664386593563473
Growth 5yr Low Est,0.1106902235103826
Growth 5yr High Est,0.14250025568956337
Growth 5yr Consensus Est,0.126595239599973
Growth 5yr Actual/Est,0.1276276522203386
Growth 3yr Historic,0.0951404145572643
