,PKI
Price/Earnings (TTM),45.336
Price/Sales (TTM),3.56503
Price/Book (MRQ),3.72985
Price/Cash Flow (TTM),22.85758
5yr Low,39.5
5yr High,103.0
5yr Avg Return,0.11718333333333333
EPS Growth 5yr,0.0771865
Revenue Growth 5yr,0.0520769
Dividend Growth 5yr,0.0
Short Int Current Month,2847986.0
Short Int Prev Month,3369837.0
Short Int Pct of Float,0.0258047
Days to Cover,3.35068
Float,110.3988
Shares Outstanding,111.3044
Institutions Holding Shares,591.0
% Held by Institutions,0.9792829999999999
FCF Growth 5yr,0.03261748776836651
