,PKI
% Below High,0.0974
% Held by Institutions,0.9793000000000001
52-Wk Range,['62.91 - 102.46']
Annual Dividend $,0.28
Annual Dividend %,0.003
Ask,104.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,83.8
Bid Size,100.0
Closing Price,92.48
Day Change $,-0.28
Day Change %,-0.003
Day High,93.99
Day Low,92.11
Dividend Pay Date,2020-08-07 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2020-07-16 00:00:00
Ex-dividend Date,07/16/20
Historical Volatility,0.341
Last (size),317.0
Last (time),6:30p ET 05/08/20
Market Cap,10.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.34
Prev Close,92.76
Shares Outstanding,111.3M
Short Interest,0.0258
Today's Open,93.92
Volume,822712.0
Volume 10-day Avg,1033958.0
Volume Past Day,(Light)
