,MMM
Price/Earnings (TTM),17.09973
Price/Sales (TTM),2.59148
Price/Book (MRQ),8.26147
Price/Cash Flow (TTM),12.62297
5yr Low,114.04
5yr High,259.77
5yr Avg Return,0.007583333333333334
EPS Growth 5yr,0.0085156
Revenue Growth 5yr,0.001972
Dividend Growth 5yr,0.1098883
Short Int Current Month,7436338.0
Short Int Prev Month,8133946.0
Short Int Pct of Float,0.0129522
Days to Cover,2.04807
Float,574.1515
Shares Outstanding,575.1964
Institutions Holding Shares,2428.0
% Held by Institutions,0.667011
FCF Growth 5yr,0.01783849549938843
