,MMM
% Above Low,0.3023
% Held by Institutions,0.667
52-Wk Range,['114.04 - 187.72']
Annual Dividend $,5.88
Annual Dividend %,0.0403
Ask,149.12
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,148.52
Bid Size,500.0
Closing Price,148.51
Day Change $,2.77
Day Change %,0.019
Day High,149.18
Day Low,146.38
Dividend Pay Date,2020-03-12 00:00:00
"EPS (TTM, GAAP)",8.52
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.353
Last (size),184.0
Last (time),6:30p ET 05/08/20
Market Cap,85.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.1
Prev Close,145.74
Shares Outstanding,575.2M
Short Interest,0.013000000000000001
Today's Open,147.08
Volume,2170027.0
Volume 10-day Avg,3399431.0
Volume Past Day,(Light)
