,LRCX
% Below High,0.22920000000000001
% Held by Institutions,0.8815000000000001
52-Wk Range,['171.04 - 344.32']
Annual Dividend $,4.6
Annual Dividend %,0.018600000000000002
Ask,266.5
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.3
Bid,265.6
Bid Size,600.0
Closing Price,265.4
Day Change $,17.77
Day Change %,0.0718
Day High,266.37
Day Low,252.06
Dividend Pay Date,2020-04-08 00:00:00
"EPS (TTM, GAAP)",13.9
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.616
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,38.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,247.63
Shares Outstanding,145.2M
Short Interest,0.027000000000000003
Today's Open,252.9
Volume,2839754.0
Volume 10-day Avg,2614223.0
Volume Past Day,(Average)
