,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,6.01,,,5.87,,6.12,,5.995,6.01,,
Year ending 12/2018,Neutral,7.24,,0.2046589018302829,7.07,0.2044293015332197,7.3,0.19281045751633985,7.1850000000000005,7.24,0.2046589018302829,0.19861987952477977
Year ending 12/2019,Neutral,7.53,,0.04005524861878462,7.45,0.05374823196605383,7.61,0.042465753424657526,7.53,7.53,0.04005524861878462,0.04810699269535568
Year ending 12/2020,Neutral,,5.48,0.0,4.26,-0.4281879194630873,7.05,-0.07358738501971096,5.48,5.48,-0.27224435590969454,-0.25088765224139914
Year ending 12/2021,Neutral,,6.92,0.0,5.75,0.3497652582159625,7.99,0.1333333333333333,6.92,6.92,0.2627737226277371,0.2415492957746479
