,UPS
% Above Low,0.1565
% Held by Institutions,0.6744
52-Wk Range,['82.00 - 125.31']
Annual Dividend $,4.04
Annual Dividend %,0.0435
Ask,95.06
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.8
Bid,94.85
Bid Size,1000.0
Closing Price,94.83
Day Change $,2.0
Day Change %,0.0215
Day High,94.98
Day Low,93.31
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",5.11
Ex-dividend,2020-02-24 00:00:00
Ex-dividend Date,02/24/20
Historical Volatility,0.358
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,81.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,92.83
Shares Outstanding,860.5M
Short Interest,0.0207
Today's Open,93.54
Volume,3418905.0
Volume 10-day Avg,5395894.0
Volume Past Day,(Light)
