,AIG
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.5111111111111111
Growth 1yr High Est,-0.3664717348927875
Growth 1yr Consensus Est,-0.4387914230019493
Growth 2yr Low Est,0.15353535353535352
Growth 2yr High Est,0.07061028639976019
Growth 2yr Consensus Est,0.11207281996755686
Growth 5yr Low Est,0.15353535353535352
Growth 5yr High Est,0.07061028639976019
Growth 5yr Consensus Est,0.11207281996755686
Growth 5yr Actual/Est,0.6717536980973291
Growth 3yr Historic,0.6057692307692308
