,SWK
% Above Low,0.6761
% Held by Institutions,0.8652
52-Wk Range,['70.00 - 173.67']
Annual Dividend $,2.76
Annual Dividend %,0.025099999999999997
Ask,166.0
Ask Size,1800.0
B/A Ratio,0.5555555555555556
B/A Size,1000x1800
Beta,1.5
Bid,111.0
Bid Size,1000.0
Closing Price,117.33
Day Change $,7.35
Day Change %,0.0668
Day High,117.5
Day Low,111.83
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",6.11
Ex-dividend,2020-06-01 00:00:00
Ex-dividend Date,06/01/20
Historical Volatility,0.6020000000000001
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,18.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.2
Prev Close,109.98
Shares Outstanding,154.1M
Short Interest,0.0325
Today's Open,112.0
Volume,3055612.0
Volume 10-day Avg,2431129.0
Volume Past Day,(Heavy Day)
