,SWK
Price/Earnings (TTM),19.19676
Price/Sales (TTM),1.2701
Price/Book (MRQ),2.41647
Price/Cash Flow (TTM),12.08886
5yr Low,70.0
5yr High,176.62
5yr Avg Return,0.06786666666666666
EPS Growth 5yr,0.0341827
Revenue Growth 5yr,0.049578199999999996
Dividend Growth 5yr,0.0576616
Short Int Current Month,4988015.0
Short Int Prev Month,4478731.0
Short Int Pct of Float,0.0324755
Days to Cover,2.78791
Float,153.5894
Shares Outstanding,154.1271
Institutions Holding Shares,1018.0
% Held by Institutions,0.8652169999999999
FCF Growth 5yr,0.5159867763640145
