,A
% Below High,0.1206
% Held by Institutions,0.8499
52-Wk Range,['61.13 - 90.64']
Annual Dividend $,0.72
Annual Dividend %,0.0092
Ask,81.8
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,78.6
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.71
Day Change $,1.21
Day Change %,0.0154
Day High,80.33
Day Low,79.19
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.42
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.38
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,24.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.4
Prev Close,78.5
Shares Outstanding,309.7M
Short Interest,0.015700000000000002
Today's Open,79.67
Volume,2255008.0
Volume 10-day Avg,1715480.0
Volume Past Day,(Heavy Day)
