,A
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.1368078175895765
Growth 1yr High Est,0.13225806451612887
Growth 1yr Consensus Est,-0.0022748765367238133
Growth 2yr Low Est,0.04291684592219297
Growth 2yr High Est,0.13308059920963144
Growth 2yr Consensus Est,0.08799872256591221
Growth 5yr Low Est,0.09923397245572188
Growth 5yr High Est,0.14212205766832559
Growth 5yr Consensus Est,0.12067801506202373
Growth 5yr Actual/Est,0.11105506318118799
Growth 3yr Historic,0.07422468258307519
