,CERN
Price/Earnings (TTM),41.62679
Price/Sales (TTM),3.56784
Price/Book (MRQ),5.27619
Price/Cash Flow (TTM),16.9291
5yr Low,47.01
5yr High,80.9
5yr Avg Return,0.04044999999999999
EPS Growth 5yr,0.019077
Revenue Growth 5yr,0.108402
Dividend Growth 5yr,
Short Int Current Month,12317491.0
Short Int Prev Month,10978404.0
Short Int Pct of Float,0.0420897
Days to Cover,6.26084
Float,292.5392
Shares Outstanding,304.3486
Institutions Holding Shares,1055.0
% Held by Institutions,0.835203
FCF Growth 5yr,0.050842830950421386
