,CERN
% Below High,0.1502
% Held by Institutions,0.8351999999999999
52-Wk Range,['53.08 - 80.90']
Annual Dividend $,0.72
Annual Dividend %,0.010700000000000001
Ask,71.65
Ask Size,200.0
Ask close,68.83
B/A Ratio,33.5
B/A Size,6700x200
Beta,0.9
Bid,66.28
Bid Size,6700.0
Bid close,68.65
Change Since Close,0.00| |(0.00%)
Closing Price,68.75
Day Change $,1.76
Day Change %,0.0263
Day High,68.93
Day Low,67.37
Dividend Pay Date,2020-04-17 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.277
Last (size),1200.0
Last (time),3:59p ET 05/08/20
Last Trade,68.75
Market Cap,20.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",41.63
Prev Close,66.99
Shares Outstanding,304.3M
Short Interest,0.0421
Today's Open,68.37
Volume,1675070.0
Volume 10-day Avg,2201734.0
Volume Past Day,(Light)
