,AMP
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06504065040650397
Growth 1yr High Est,0.10400000000000009
Growth 1yr Consensus Est,0.01947967479674806
Growth 2yr Low Est,-0.01621597737716507
Growth 2yr High Est,0.11944704570791531
Growth 2yr Consensus Est,0.05161553416537512
Growth 5yr Low Est,-0.004833640090523857
Growth 5yr High Est,0.10934539418954858
Growth 5yr Consensus Est,0.052255877049512366
Growth 5yr Actual/Est,0.08761548580295683
Growth 3yr Historic,0.07381195523741257
