,AMP
Price/Earnings (TTM),4.50773
Price/Sales (TTM),1.17284
Price/Book (MRQ),2.25416
Price/Cash Flow (TTM),9.15533
5yr Low,76.0
5yr High,183.9
5yr Avg Return,0.06344999999999999
EPS Growth 5yr,0.1085944
Revenue Growth 5yr,0.0094802
Dividend Growth 5yr,0.11010310000000001
Short Int Current Month,2551388.0
Short Int Prev Month,2405864.0
Short Int Pct of Float,0.0208061
Days to Cover,2.57315
Float,121.6904
Shares Outstanding,122.9686
Institutions Holding Shares,1056.0
% Held by Institutions,0.861069
FCF Growth 5yr,0.03498977946293773
