,AMP
% Above Low,0.5699000000000001
% Held by Institutions,0.8611
52-Wk Range,['80.01 - 180.85']
Annual Dividend $,4.16
Annual Dividend %,0.0342
Ask,143.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,125.9
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,125.61
Day Change $,3.88
Day Change %,0.0319
Day High,127.25
Day Low,122.49
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",27.0
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.6609999999999999
Last (size),88.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,15.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.51
Prev Close,121.73
Shares Outstanding,122.3M
Short Interest,0.0208
Today's Open,124.46
Volume,872799.0
Volume 10-day Avg,954663.0
Volume Past Day,(Average)
